customer_id,created_by,registered_at,gender,birthday,membership_tier,is_sms,is_email,is_line
88,In-store,2020-03-28,Male,1970-03-29,Silver,0,0,1
89,In-store,2020-03-29,Other,1970-03-30,Silver,1,0,1
90,In-store,2020-03-30,Other,1970-03-31,Gold,0,1,1
91,Online,2020-03-31,Other,1970-04-01,Gold,1,0,0
92,Online,2020-04-01,Female,1970-04-02,Regular,1,1,0
93,In-store,2020-04-02,Other,1970-04-03,Regular,0,1,1
94,Online,2020-04-03,Male,1970-04-04,Regular,1,1,1
95,In-store,2020-04-04,Other,1970-04-05,Gold,0,1,1
96,Online,2020-04-05,Other,1970-04-06,Regular,1,1,0
97,In-store,2020-04-06,Female,1970-04-07,Silver,1,1,1
98,Online,2020-04-07,Female,1970-04-08,Silver,0,0,0
99,Online,2020-04-08,Male,1970-04-09,Gold,1,0,1
100,In-store,2020-04-09,Female,1970-04-10,Regular,0,0,0
101,In-store,2020-04-10,Other,1970-04-11,Silver,1,0,0
102,Online,2020-04-11,Female,1970-04-12,Gold,0,0,1
103,Online,2020-04-12,Male,1970-04-13,Regular,1,1,0
104,In-store,2020-04-13,Other,1970-04-14,Silver,0,0,1
105,Online,2020-04-14,Male,1970-04-15,Regular,0,0,0
106,In-store,2020-04-15,Female,1970-04-16,Gold,1,0,0
107,In-store,2020-04-16,Female,1970-04-17,Regular,0,1,1
108,Online,2020-04-17,Male,1970-04-18,Gold,1,1,0
109,In-store,2020-04-18,Other,1970-04-19,Regular,1,1,1
110,Online,2020-04-19,Female,1970-04-20,Silver,0,0,1
111,Online,2020-04-20,Female,1970-04-21,Gold,0,0,1
112,In-store,2020-04-21,Other,1970-04-22,Gold,0,0,0
113,Online,2020-04-22,Female,1970-04-23,Gold,0,0,0
114,In-store,2020-04-23,Male,1970-04-24,Regular,0,0,0
115,In-store,2020-04-24,Female,1970-04-25,Regular,1,1,1
116,In-store,2020-04-25,Female,1970-04-26,Silver,0,0,1
117,Online,2020-04-26,Other,1970-04-27,Gold,1,1,0
118,In-store,2020-04-27,Male,1970-04-28,Gold,0,0,0
119,Online,2020-04-28,Other,1970-04-29,Regular,0,1,1
120,In-store,2020-04-29,Female,1970-04-30,Regular,0,1,0
121,In-store,2020-04-30,Female,1970-05-01,Silver,1,1,1
122,In-store,2020-05-01,Other,1970-05-02,Silver,0,1,0
123,Online,2020-05-02,Other,1970-05-03,Regular,1,0,1
124,Online,2020-05-03,Other,1970-05-04,Gold,1,0,0
125,In-store,2020-05-04,Male,1970-05-05,Silver,1,0,0
126,In-store,2020-05-05,Female,1970-05-06,Regular,0,1,1
127,Online,2020-05-06,Other,1970-05-07,Regular,1,0,1
128,Online,2020-05-07,Female,1970-05-08,Gold,0,0,1
129,Online,2020-05-08,Male,1970-05-09,Regular,1,0,0
130,In-store,2020-05-09,Male,1970-05-10,Regular,0,0,1
131,Online,2020-05-10,Male,1970-05-11,Silver,1,1,1
132,In-store,2020-05-11,Male,1970-05-12,Regular,0,1,0
133,Online,2020-05-12,Female,1970-05-13,Regular,0,0,1
134,In-store,2020-05-13,Male,1970-05-14,Silver,0,0,1
135,In-store,2020-05-14,Male,1970-05-15,Gold,1,0,1
136,In-store,2020-05-15,Other,1970-05-16,Gold,1,1,0
137,Online,2020-05-16,Male,1970-05-17,Silver,0,1,0
138,Online,2020-05-17,Other,1970-05-18,Silver,1,1,0
139,Online,2020-05-18,Male,1970-05-19,Gold,1,0,1
140,In-store,2020-05-19,Male,1970-05-20,Gold,1,1,0
141,In-store,2020-05-20,Other,1970-05-21,Gold,1,1,1
142,Online,2020-05-21,Male,1970-05-22,Gold,1,1,1
143,In-store,2020-05-22,Female,1970-05-23,Gold,1,1,1
144,In-store,2020-05-23,Female,1970-05-24,Silver,1,1,0
145,In-store,2020-05-24,Male,1970-05-25,Regular,0,0,0
146,Online,2020-05-25,Female,1970-05-26,Gold,0,0,1
147,In-store,2020-05-26,Other,1970-05-27,Gold,1,0,1
148,Online,2020-05-27,Male,1970-05-28,Regular,0,0,0
149,Online,2020-05-28,Male,1970-05-29,Regular,0,1,0
150,Online,2020-05-29,Other,1970-05-30,Regular,0,0,0
151,Online,2020-05-30,Other,1970-05-31,Regular,1,0,1
152,Online,2020-05-31,Other,1970-06-01,Regular,1,0,0
153,In-store,2020-06-01,Male,1970-06-02,Regular,1,1,0
154,Online,2020-06-02,Other,1970-06-03,Silver,1,0,0
155,Online,2020-06-03,Other,1970-06-04,Regular,1,1,1
156,Online,2020-06-04,Female,1970-06-05,Regular,0,1,0
157,In-store,2020-06-05,Female,1970-06-06,Silver,1,1,1
158,In-store,2020-06-06,Male,1970-06-07,Regular,0,0,1
159,In-store,2020-06-07,Female,1970-06-08,Gold,1,1,1
160,In-store,2020-06-08,Female,1970-06-09,Gold,0,0,0
161,Online,2020-06-09,Other,1970-06-10,Regular,1,0,0
162,Online,2020-06-10,Other,1970-06-11,Silver,1,0,0
163,In-store,2020-06-11,Female,1970-06-12,Gold,1,1,1
164,In-store,2020-06-12,Female,1970-06-13,Silver,1,1,0
165,In-store,2020-06-13,Female,1970-06-14,Gold,1,0,1
166,In-store,2020-06-14,Male,1970-06-15,Regular,1,1,0
167,Online,2020-06-15,Male,1970-06-16,Silver,0,1,0
168,In-store,2020-06-16,Male,1970-06-17,Silver,1,1,0
169,In-store,2020-06-17,Female,1970-06-18,Silver,0,0,0
170,In-store,2020-06-18,Female,1970-06-19,Gold,1,1,1
171,In-store,2020-06-19,Male,1970-06-20,Gold,0,1,1
172,In-store,2020-06-20,Male,1970-06-21,Gold,0,0,1
173,In-store,2020-06-21,Female,1970-06-22,Regular,0,1,1
174,In-store,2020-06-22,Other,1970-06-23,Gold,0,0,0
175,Online,2020-06-23,Male,1970-06-24,Regular,0,1,1
176,Online,2020-06-24,Female,1970-06-25,Silver,0,1,1
177,Online,2020-06-25,Female,1970-06-26,Silver,1,1,1
178,Online,2020-06-26,Other,1970-06-27,Regular,0,1,0
179,Online,2020-06-27,Female,1970-06-28,Gold,1,1,1
180,Online,2020-06-28,Female,1970-06-29,Regular,1,1,1
181,In-store,2020-06-29,Male,1970-06-30,Silver,0,0,0
182,In-store,2020-06-30,Male,1970-07-01,Silver,0,1,0
183,Online,2020-07-01,Other,1970-07-02,Regular,1,1,1
184,In-store,2020-07-02,Other,1970-07-03,Gold,0,1,1
185,Online,2020-07-03,Female,1970-07-04,Gold,0,0,0
186,In-store,2020-07-04,Male,1970-07-05,Regular,0,0,1
187,In-store,2020-07-05,Other,1970-07-06,Regular,0,0,0
188,In-store,2020-07-06,Other,1970-07-07,Gold,0,1,1
189,In-store,2020-07-07,Other,1970-07-08,Silver,0,1,1
190,In-store,2020-07-08,Female,1970-07-09,Regular,0,0,1
191,In-store,2020-07-09,Male,1970-07-10,Gold,1,0,1
192,Online,2020-07-10,Other,1970-07-11,Gold,0,0,1
193,Online,2020-07-11,Male,1970-07-12,Silver,1,1,0
194,In-store,2020-07-12,Other,1970-07-13,Silver,1,0,0
195,Online,2020-07-13,Other,1970-07-14,Silver,1,1,1
196,In-store,2020-07-14,Male,1970-07-15,Silver,1,1,1
197,Online,2020-07-15,Male,1970-07-16,Silver,0,1,1
198,In-store,2020-07-16,Male,1970-07-17,Regular,1,0,0
199,Online,2020-07-17,Female,1970-07-18,Gold,1,1,0
200,In-store,2020-07-18,Other,1970-07-19,Regular,1,0,0
201,Online,2020-07-19,Female,1970-07-20,Regular,1,0,0
202,In-store,2020-07-20,Male,1970-07-21,Regular,1,0,0
203,Online,2020-07-21,Other,1970-07-22,Regular,0,0,0
204,In-store,2020-07-22,Female,1970-07-23,Regular,0,1,0
205,In-store,2020-07-23,Other,1970-07-24,Silver,1,1,0
206,In-store,2020-07-24,Female,1970-07-25,Silver,0,1,1
207,Online,2020-07-25,Male,1970-07-26,Gold,0,1,0
208,Online,2020-07-26,Female,1970-07-27,Regular,1,0,0
209,Online,2020-07-27,Other,1970-07-28,Gold,1,0,0
210,In-store,2020-07-28,Other,1970-07-29,Silver,1,0,0
211,Online,2020-07-29,Other,1970-07-30,Silver,0,0,1
212,In-store,2020-07-30,Other,1970-07-31,Silver,1,1,0
213,Online,2020-07-31,Male,1970-08-01,Regular,0,0,1
214,Online,2020-08-01,Female,1970-08-02,Regular,0,1,1
215,Online,2020-08-02,Male,1970-08-03,Silver,0,0,1
216,Online,2020-08-03,Male,1970-08-04,Gold,1,0,0
217,In-store,2020-08-04,Male,1970-08-05,Gold,0,0,0
218,Online,2020-08-05,Other,1970-08-06,Silver,1,0,0
219,Online,2020-08-06,Other,1970-08-07,Gold,1,1,1
220,In-store,2020-08-07,Other,1970-08-08,Silver,1,1,1
221,In-store,2020-08-08,Female,1970-08-09,Gold,1,1,1
222,Online,2020-08-09,Other,1970-08-10,Silver,1,1,1
223,Online,2020-08-10,Female,1970-08-11,Gold,0,0,0
224,In-store,2020-08-11,Other,1970-08-12,Regular,0,0,0
225,In-store,2020-08-12,Other,1970-08-13,Silver,0,1,0
226,In-store,2020-08-13,Male,1970-08-14,Silver,0,1,1
227,Online,2020-08-14,Male,1970-08-15,Gold,0,0,1
228,Online,2020-08-15,Male,1970-08-16,Silver,1,0,0
229,Online,2020-08-16,Female,1970-08-17,Silver,1,1,0
230,In-store,2020-08-17,Female,1970-08-18,Silver,0,1,1
231,In-store,2020-08-18,Other,1970-08-19,Regular,0,1,0
232,In-store,2020-08-19,Female,1970-08-20,Regular,0,0,0
233,Online,2020-08-20,Other,1970-08-21,Gold,1,1,1
234,In-store,2020-08-21,Female,1970-08-22,Regular,1,1,1
235,Online,2020-08-22,Female,1970-08-23,Gold,1,1,1
236,In-store,2020-08-23,Female,1970-08-24,Regular,0,1,0
237,Online,2020-08-24,Male,1970-08-25,Gold,0,1,1
238,Online,2020-08-25,Female,1970-08-26,Regular,0,0,0
239,In-store,2020-08-26,Male,1970-08-27,Regular,0,1,0
240,Online,2020-08-27,Male,1970-08-28,Gold,1,0,1
241,In-store,2020-08-28,Female,1970-08-29,Silver,0,1,0
242,Online,2020-08-29,Other,1970-08-30,Silver,0,1,1
243,In-store,2020-08-30,Other,1970-08-31,Regular,0,1,1
244,In-store,2020-08-31,Other,1970-09-01,Gold,1,0,0
245,Online,2020-09-01,Female,1970-09-02,Silver,1,0,0
246,In-store,2020-09-02,Other,1970-09-03,Gold,0,0,1
247,Online,2020-09-03,Male,1970-09-04,Silver,1,1,1
248,In-store,2020-09-04,Other,1970-09-05,Gold,1,1,1
249,In-store,2020-09-05,Female,1970-09-06,Regular,1,0,1
250,In-store,2020-09-06,Other,1970-09-07,Gold,1,0,1
251,In-store,2020-09-07,Male,1970-09-08,Silver,1,1,1
252,Online,2020-09-08,Female,1970-09-09,Regular,0,0,0
253,In-store,2020-09-09,Other,1970-09-10,Gold,0,1,0
254,In-store,2020-09-10,Female,1970-09-11,Silver,0,0,0
255,Online,2020-09-11,Female,1970-09-12,Regular,1,0,0
256,Online,2020-09-12,Female,1970-09-13,Gold,1,0,1
257,Online,2020-09-13,Other,1970-09-14,Silver,1,1,0
258,Online,2020-09-14,Female,1970-09-15,Gold,1,1,0
259,Online,2020-09-15,Other,1970-09-16,Gold,0,0,1
260,Online,2020-09-16,Male,1970-09-17,Regular,0,1,0
261,In-store,2020-09-17,Other,1970-09-18,Regular,0,1,1
262,Online,2020-09-18,Male,1970-09-19,Silver,0,1,1
263,In-store,2020-09-19,Other,1970-09-20,Regular,0,1,1
264,Online,2020-09-20,Female,1970-09-21,Silver,0,0,1
265,In-store,2020-09-21,Other,1970-09-22,Gold,1,1,1
266,In-store,2020-09-22,Female,1970-09-23,Gold,1,1,0
267,In-store,2020-09-23,Male,1970-09-24,Silver,0,0,0
268,Online,2020-09-24,Other,1970-09-25,Gold,1,1,0
269,Online,2020-09-25,Female,1970-09-26,Regular,0,1,1
270,Online,2020-09-26,Male,1970-09-27,Gold,0,1,0
271,Online,2020-09-27,Male,1970-09-28,Regular,1,0,0
272,In-store,2020-09-28,Other,1970-09-29,Silver,0,0,0
273,Online,2020-09-29,Male,1970-09-30,Silver,0,1,0
274,In-store,2020-09-30,Female,1970-10-01,Gold,0,1,1
275,In-store,2020-10-01,Male,1970-10-02,Gold,1,0,0
276,Online,2020-10-02,Male,1970-10-03,Regular,1,0,1
277,Online,2020-10-03,Female,1970-10-04,Regular,1,0,1
278,Online,2020-10-04,Male,1970-10-05,Gold,1,1,0
279,In-store,2020-10-05,Male,1970-10-06,Gold,0,1,1
280,Online,2020-10-06,Male,1970-10-07,Silver,1,0,1
281,In-store,2020-10-07,Male,1970-10-08,Silver,1,1,1
282,Online,2020-10-08,Female,1970-10-09,Silver,1,1,1
283,In-store,2020-10-09,Male,1970-10-10,Gold,0,1,1
284,Online,2020-10-10,Female,1970-10-11,Gold,1,1,1
285,Online,2020-10-11,Male,1970-10-12,Gold,1,1,1
286,In-store,2020-10-12,Male,1970-10-13,Silver,0,1,0
287,Online,2020-10-13,Male,1970-10-14,Gold,0,1,0
288,Online,2020-10-14,Male,1970-10-15,Regular,0,0,1
289,Online,2020-10-15,Female,1970-10-16,Gold,0,0,1
290,Online,2020-10-16,Female,1970-10-17,Gold,1,0,0
291,Online,2020-10-17,Female,1970-10-18,Gold,0,0,0
292,Online,2020-10-18,Other,1970-10-19,Gold,1,0,0
293,Online,2020-10-19,Male,1970-10-20,Gold,1,0,0
294,In-store,2020-10-20,Male,1970-10-21,Regular,1,0,1
295,In-store,2020-10-21,Female,1970-10-22,Regular,1,0,1
296,Online,2020-10-22,Other,1970-10-23,Gold,1,0,0
297,Online,2020-10-23,Male,1970-10-24,Silver,0,1,0
298,Online,2020-10-24,Female,1970-10-25,Gold,1,1,0
299,In-store,2020-10-25,Male,1970-10-26,Gold,1,0,0
300,In-store,2020-10-26,Male,1970-10-27,Gold,1,1,1
301,Online,2020-10-27,Female,1970-10-28,Silver,0,1,0
302,In-store,2020-10-28,Female,1970-10-29,Silver,1,0,0
303,Online,2020-10-29,Male,1970-10-30,Silver,1,0,0
304,Online,2020-10-30,Male,1970-10-31,Regular,0,0,1
305,Online,2020-10-31,Female,1970-11-01,Silver,1,1,1
306,Online,2020-11-01,Male,1970-11-02,Regular,1,1,1
307,In-store,2020-11-02,Male,1970-11-03,Regular,0,0,0
308,In-store,2020-11-03,Female,1970-11-04,Silver,1,1,0
309,Online,2020-11-04,Male,1970-11-05,Silver,1,1,0
310,In-store,2020-11-05,Male,1970-11-06,Silver,1,1,1
311,In-store,2020-11-06,Other,1970-11-07,Regular,1,0,1
312,Online,2020-11-07,Female,1970-11-08,Gold,1,1,0
313,In-store,2020-11-08,Other,1970-11-09,Silver,0,1,0
314,Online,2020-11-09,Other,1970-11-10,Silver,0,1,1
315,Online,2020-11-10,Other,1970-11-11,Silver,0,1,0
316,Online,2020-11-11,Male,1970-11-12,Regular,1,1,0
317,Online,2020-11-12,Male,1970-11-13,Regular,1,1,0
318,In-store,2020-11-13,Other,1970-11-14,Gold,1,1,1
319,Online,2020-11-14,Other,1970-11-15,Silver,0,0,0
320,In-store,2020-11-15,Other,1970-11-16,Regular,1,0,0
321,Online,2020-11-16,Male,1970-11-17,Gold,1,1,0
322,Online,2020-11-17,Other,1970-11-18,Silver,1,0,0
323,In-store,2020-11-18,Other,1970-11-19,Regular,0,1,1
324,Online,2020-11-19,Female,1970-11-20,Silver,0,1,1
325,In-store,2020-11-20,Female,1970-11-21,Silver,1,1,1
326,In-store,2020-11-21,Male,1970-11-22,Regular,1,0,0
327,Online,2020-11-22,Female,1970-11-23,Regular,1,1,1
328,Online,2020-11-23,Female,1970-11-24,Regular,0,1,0
329,Online,2020-11-24,Female,1970-11-25,Silver,0,0,1
330,Online,2020-11-25,Male,1970-11-26,Silver,0,0,0
331,Online,2020-11-26,Female,1970-11-27,Gold,1,1,1
332,Online,2020-11-27,Male,1970-11-28,Silver,0,0,1
333,In-store,2020-11-28,Other,1970-11-29,Regular,1,0,1
334,In-store,2020-11-29,Female,1970-11-30,Silver,1,1,0
335,Online,2020-11-30,Male,1970-12-01,Gold,0,1,0
336,In-store,2020-12-01,Female,1970-12-02,Gold,1,1,0
337,In-store,2020-12-02,Other,1970-12-03,Regular,0,0,1
338,Online,2020-12-03,Male,1970-12-04,Regular,1,0,0
339,Online,2020-12-04,Male,1970-12-05,Gold,1,0,0
340,In-store,2020-12-05,Male,1970-12-06,Gold,0,1,0
341,Online,2020-12-06,Other,1970-12-07,Gold,1,0,0
342,In-store,2020-12-07,Other,1970-12-08,Regular,1,0,0
343,Online,2020-12-08,Other,1970-12-09,Gold,1,1,0
344,In-store,2020-12-09,Male,1970-12-10,Gold,1,1,1
345,In-store,2020-12-10,Other,1970-12-11,Regular,1,1,1
346,In-store,2020-12-11,Female,1970-12-12,Silver,1,0,0
347,In-store,2020-12-12,Other,1970-12-13,Silver,1,1,1
348,Online,2020-12-13,Male,1970-12-14,Gold,1,0,1
349,Online,2020-12-14,Female,1970-12-15,Silver,0,0,0
350,In-store,2020-12-15,Other,1970-12-16,Silver,0,1,0
351,In-store,2020-12-16,Female,1970-12-17,Silver,1,1,1
352,Online,2020-12-17,Female,1970-12-18,Silver,1,1,0
353,Online,2020-12-18,Male,1970-12-19,Gold,0,1,1
354,In-store,2020-12-19,Female,1970-12-20,Silver,1,1,1
355,In-store,2020-12-20,Female,1970-12-21,Silver,0,0,1
356,In-store,2020-12-21,Male,1970-12-22,Regular,0,0,0
357,In-store,2020-12-22,Male,1970-12-23,Gold,0,0,1
358,In-store,2020-12-23,Male,1970-12-24,Regular,1,1,0
359,Online,2020-12-24,Female,1970-12-25,Regular,1,0,0
360,In-store,2020-12-25,Female,1970-12-26,Gold,1,1,0
361,Online,2020-12-26,Female,1970-12-27,Silver,0,1,0
362,Online,2020-12-27,Male,1970-12-28,Regular,0,0,0
363,Online,2020-12-28,Other,1970-12-29,Gold,0,0,1
364,In-store,2020-12-29,Female,1970-12-30,Silver,1,1,0
365,Online,2020-12-30,Other,1970-12-31,Gold,0,0,0
366,Online,2020-12-31,Male,1971-01-01,Regular,0,1,0
367,Online,2021-01-01,Female,1971-01-02,Silver,1,0,0
368,Online,2021-01-02,Other,1971-01-03,Silver,0,0,0
369,In-store,2021-01-03,Female,1971-01-04,Gold,0,0,1
370,In-store,2021-01-04,Female,1971-01-05,Silver,1,0,0
371,Online,2021-01-05,Female,1971-01-06,Regular,1,0,0
372,Online,2021-01-06,Other,1971-01-07,Regular,0,1,1
373,In-store,2021-01-07,Male,1971-01-08,Regular,1,0,0
374,In-store,2021-01-08,Female,1971-01-09,Gold,0,0,1
375,In-store,2021-01-09,Male,1971-01-10,Silver,1,0,1
376,Online,2021-01-10,Male,1971-01-11,Silver,0,1,1
377,In-store,2021-01-11,Other,1971-01-12,Silver,1,1,1
378,Online,2021-01-12,Other,1971-01-13,Regular,0,1,0
379,Online,2021-01-13,Male,1971-01-14,Silver,1,1,0
380,In-store,2021-01-14,Female,1971-01-15,Regular,1,1,1
381,Online,2021-01-15,Other,1971-01-16,Silver,1,0,1
382,In-store,2021-01-16,Female,1971-01-17,Regular,1,0,0
383,Online,2021-01-17,Female,1971-01-18,Silver,1,0,1
384,In-store,2021-01-18,Female,1971-01-19,Gold,1,1,1
385,Online,2021-01-19,Male,1971-01-20,Gold,1,1,1
386,Online,2021-01-20,Female,1971-01-21,Regular,0,0,0
387,In-store,2021-01-21,Male,1971-01-22,Regular,0,1,1
388,In-store,2021-01-22,Male,1971-01-23,Silver,1,1,0
389,In-store,2021-01-23,Female,1971-01-24,Silver,1,1,0
390,In-store,2021-01-24,Female,1971-01-25,Gold,0,0,0
391,Online,2021-01-25,Female,1971-01-26,Silver,0,0,1
392,In-store,2021-01-26,Female,1971-01-27,Regular,1,1,1
393,In-store,2021-01-27,Male,1971-01-28,Regular,0,1,0
394,Online,2021-01-28,Female,1971-01-29,Regular,0,1,0
395,In-store,2021-01-29,Female,1971-01-30,Regular,1,1,0
396,In-store,2021-01-30,Male,1971-01-31,Regular,1,0,1
397,Online,2021-01-31,Other,1971-02-01,Gold,1,1,1
398,In-store,2021-02-01,Other,1971-02-02,Gold,0,0,0
399,In-store,2021-02-02,Male,1971-02-03,Regular,1,0,0
400,In-store,2021-02-03,Other,1971-02-04,Silver,1,0,1
401,In-store,2021-02-04,Male,1971-02-05,Regular,0,1,0
402,In-store,2021-02-05,Female,1971-02-06,Gold,1,0,1
403,In-store,2021-02-06,Female,1971-02-07,Regular,0,0,1
404,Online,2021-02-07,Other,1971-02-08,Gold,0,1,0
405,In-store,2021-02-08,Female,1971-02-09,Gold,0,1,0
406,Online,2021-02-09,Other,1971-02-10,Regular,0,1,1
407,Online,2021-02-10,Other,1971-02-11,Regular,0,0,1
408,Online,2021-02-11,Female,1971-02-12,Silver,0,1,1
409,Online,2021-02-12,Female,1971-02-13,Gold,1,0,1
410,In-store,2021-02-13,Other,1971-02-14,Silver,1,0,1
411,In-store,2021-02-14,Female,1971-02-15,Regular,1,1,0
412,In-store,2021-02-15,Male,1971-02-16,Gold,0,0,1
413,Online,2021-02-16,Female,1971-02-17,Silver,1,0,1
414,In-store,2021-02-17,Female,1971-02-18,Silver,0,0,1
415,In-store,2021-02-18,Male,1971-02-19,Silver,1,0,0
416,In-store,2021-02-19,Female,1971-02-20,Regular,0,1,0
417,Online,2021-02-20,Female,1971-02-21,Regular,1,0,1
418,Online,2021-02-21,Other,1971-02-22,Regular,0,1,1
419,In-store,2021-02-22,Female,1971-02-23,Gold,1,0,0
420,Online,2021-02-23,Female,1971-02-24,Regular,0,0,0
421,Online,2021-02-24,Male,1971-02-25,Gold,1,1,0
422,In-store,2021-02-25,Other,1971-02-26,Silver,0,0,0
423,Online,2021-02-26,Other,1971-02-27,Silver,1,0,1
424,Online,2021-02-27,Other,1971-02-28,Regular,1,0,0
425,In-store,2021-02-28,Female,1971-03-01,Silver,1,0,1
426,Online,2021-03-01,Other,1971-03-02,Regular,0,0,1
427,Online,2021-03-02,Male,1971-03-03,Gold,0,0,0
428,Online,2021-03-03,Other,1971-03-04,Silver,0,1,0
